s_inhib,neuron,name_mover,stat_in,stat_out,z_in,z_out,path_z
L8H6,L8N1548,L10H0,0.10518937046145085,0.09194601272891263,7.6924159038945685,7.842494751930907,7.6924159038945685
L8H6,L8N1548,L9H9,0.10518937046145085,0.09919232089434948,7.6924159038945685,8.874776243747615,7.6924159038945685
L7H3,L7N900,L9H9,0.1271633776607225,0.08995989775850755,9.985928180044013,7.580345204154414,7.580345204154414
L7H9,L7N360,L9H9,0.10410410196229695,0.112543442898446,7.579142225445503,10.561172716077055,7.579142225445503
L7H9,L7N360,L10H0,0.10410410196229695,0.10164708846130482,7.579142225445503,9.855746217304967,7.579142225445503
L7H9,L7N360,L9H6,0.10410410196229695,0.09236141948364558,7.579142225445503,7.897324756497226,7.579142225445503
L7H9,L7N327,L10H0,0.10250363947390818,0.08438526064306909,7.412095754069176,7.365138576916483,7.365138576916483
L8H6,L8N1548,L9H6,0.10518937046145085,0.08761717507896352,7.6924159038945685,7.351788537744302,7.351788537744302
L7H3,L8N2896,L9H6,0.09903928466542199,0.08696596277296571,7.926542663860835,7.266105959584948,7.266105959584948
L7H3,L7N1576,L10H0,0.10346305961739498,0.08241477153796778,7.512234152000754,7.0808282899558534,7.0808282899558534
L7H3,L8N2896,L9H9,0.09903928466542199,0.08476221249903798,7.926542663860835,6.976149821854734,6.976149821854734
L7H3,L7N900,L10H0,0.1271633776607225,0.08106349053910301,9.985928180044013,6.885859899845452,6.885859899845452
L7H3,L7N360,L9H9,0.09696790804025998,0.112543442898446,6.834310014517795,10.561172716077055,6.834310014517795
L7H3,L7N360,L9H6,0.09696790804025998,0.09236141948364558,6.834310014517795,7.897324756497226,6.834310014517795
L7H3,L7N360,L10H0,0.09696790804025998,0.10164708846130482,6.834310014517795,9.855746217304967,6.834310014517795
L7H3,L8N2896,L10H0,0.09903928466542199,0.08105533619786878,7.926542663860835,6.405022113068053,6.405022113068053
L8H6,L8N2649,L10H0,0.09068273454292966,0.11949222791049963,6.178302102845953,11.478350661790035,6.178302102845953
L8H6,L8N2649,L9H6,0.09068273454292966,0.08467627260535428,6.178302102845953,6.964842370214553,6.178302102845953
L8H6,L8N2649,L9H9,0.09068273454292966,0.10620477982655878,6.178302102845953,9.797433194506016,6.178302102845953
L7H3,L8N428,L10H0,0.0837770237335918,0.14019551682811812,6.0919078437752034,14.211001041104595,6.0919078437752034
L7H3,L8N428,L9H6,0.0837770237335918,0.11821026165548888,6.0919078437752034,11.377041911469469,6.0919078437752034
L7H3,L8N428,L9H9,0.0837770237335918,0.1442095864099469,6.0919078437752034,14.797875877361662,6.0919078437752034
L7H9,L7N2842,L9H9,0.08938225736805297,0.10772887939707325,6.042566261022314,9.925693066896093,6.042566261022314
L7H9,L7N2842,L9H6,0.08938225736805297,0.08539406308589483,6.042566261022314,6.977695552707733,6.042566261022314
L7H9,L7N2842,L10H0,0.08938225736805297,0.09847503231022531,6.042566261022314,9.398068886212958,6.042566261022314
L7H9,L8N1307,L9H6,0.08294700027655533,0.08358058183796177,5.992132984560792,6.8206780033085215,5.992132984560792
L7H9,L8N1307,L10H0,0.08294700027655533,0.0956746900832216,5.992132984560792,8.3346470677846,5.992132984560792
L7H9,L8N1307,L9H9,0.08294700027655533,0.09344125112493068,5.992132984560792,8.118085252991392,5.992132984560792
L7H3,L8N2649,L9H6,0.08226881123203246,0.08467627260535428,5.910609726555986,6.964842370214553,5.910609726555986
L7H3,L8N2649,L9H9,0.08226881123203246,0.10620477982655878,5.910609726555986,9.797433194506016,5.910609726555986
L7H3,L8N2649,L10H0,0.08226881123203246,0.11949222791049963,5.910609726555986,11.478350661790035,5.910609726555986
L7H3,L7N900,L9H6,0.1271633776607225,0.07684311336177246,9.985928180044013,5.849046085461126,5.849046085461126
L7H3,L8N1961,L10H0,0.08156061140515358,0.1238196823042702,5.825478954138062,12.04953623224016,5.825478954138062
L7H3,L8N1961,L9H9,0.08156061140515358,0.12021476301139175,5.825478954138062,11.640782081174212,5.825478954138062
L7H3,L8N1961,L9H6,0.08156061140515358,0.10455418944554488,5.825478954138062,9.580258491221498,5.825478954138062
L8H6,L8N1961,L10H0,0.08710342918383901,0.1238196823042702,5.804716133445068,12.04953623224016,5.804716133445068
L8H6,L8N1961,L9H6,0.08710342918383901,0.10455418944554488,5.804716133445068,9.580258491221498,5.804716133445068
L8H6,L8N1961,L9H9,0.08710342918383901,0.12021476301139175,5.804716133445068,11.640782081174212,5.804716133445068
L7H3,L8N1307,L9H9,0.0813389103891666,0.09344125112493068,5.798828878805527,8.118085252991392,5.798828878805527
L7H3,L8N1307,L9H6,0.0813389103891666,0.08358058183796177,5.798828878805527,6.8206780033085215,5.798828878805527
L7H3,L8N1307,L10H0,0.0813389103891666,0.0956746900832216,5.798828878805527,8.3346470677846,5.798828878805527
L7H9,L8N764,L10H0,0.0807447456343822,0.1062492233438251,5.727405951831341,9.730391600967037,5.727405951831341
L7H9,L8N764,L9H9,0.0807447456343822,0.1073582340635359,5.727405951831341,9.949197729516758,5.727405951831341
L7H9,L8N764,L9H6,0.0807447456343822,0.09779716699439013,5.727405951831341,8.69121032833631,5.727405951831341
L8H6,L8N428,L9H9,0.08618656589019182,0.1442095864099469,5.709019558830295,14.797875877361662,5.709019558830295
L8H6,L8N428,L9H6,0.08618656589019182,0.11821026165548888,5.709019558830295,11.377041911469469,5.709019558830295
L8H6,L8N428,L10H0,0.08618656589019182,0.14019551682811812,5.709019558830295,14.211001041104595,5.709019558830295
L7H9,L8N1394,L9H9,0.07895589070452706,0.0824894082606781,5.512372572631963,6.677107980967229,5.512372572631963
L7H9,L7N327,L9H9,0.10250363947390818,0.07417835197199552,7.412095754069176,5.497321233842989,5.497321233842989
L8H6,L9N2358,L10H0,0.0785003198913148,0.12686501035439235,5.457609645915723,12.5157814208636,5.457609645915723
L7H3,L8N1764,L9H6,0.10778510131992623,0.07317413339277118,8.9778534648035,5.451460431628705,5.451460431628705
L7H3,L7N1576,L9H9,0.10346305961739498,0.07366928092594446,7.512234152000754,5.4301283741662045,5.4301283741662045
L7H9,L7N632,L10H0,0.0847173490641555,0.06944078371472119,5.55567170578366,5.208887870949421,5.208887870949421
L7H3,L7N632,L10H0,0.08492906521940372,0.06944078371472119,5.577769341263503,5.208887870949421,5.208887870949421
L7H3,L8N1394,L9H9,0.07622752580959036,0.0824894082606781,5.184403259270872,6.677107980967229,5.184403259270872
