cls,n_edges,max_stat,null_kind
head_neuron,276824064,0.3282841444015503,scored
neuron_head_K,260046848,0.6788654327392578,scored
neuron_head_Q,260046848,0.665124237537384,scored
neuron_head_V,260046848,0.2954096794128418,scored
head_head_K,507904,0.24844455130429166,raw
head_head_Q,507904,0.22613574025533445,raw
head_head_V,507904,0.13031256026640461,raw
emb_head_K,1024,0.026632460526452024,rotation-dense
emb_head_Q,1024,0.02743695923578677,rotation-dense
emb_head_V,1024,0.024884643788039857,rotation-dense
head_unembed,1024,0.02416763764699254,rotation-dense
emb_neuron,524288,0.04543900437171956,sphere-dense
neuron_unembed,524288,0.0651439653138545,sphere-dense
neuron_neuron,133143986176,0.7832411527633667,exact-law
